"","Cause_of_Death","Genotype","age","strain"
"70","Sacrificed","fl/fl; Tg/+",375,"Muscle TSC1"
"71","Sacrificed","fl/fl; Tg/+",102,"Muscle TSC1"
"72","Sacrificed","fl/fl; Tg/+",102,"Muscle TSC1"
"73","Sacrificed","fl/fl; ?",60,"Muscle TSC1"
"74","Sacrificed","fl/fl; Tg/+",635,"Muscle TSC1"
"75","Sacrificed","fl/fl; Tg/+",60,"Muscle TSC1"
"76","Sacrificed","fl/fl; Tg/+",243,"Muscle TSC1"
"77","Sacrificed","fl/fl; Tg/+",111,"Muscle TSC1"
"78","Sacrificed","fl/fl; ?",60,"Muscle TSC1"
"79","Sacrificed","fl/fl; +/+",240,"Muscle TSC1"
"80","Sacrificed","fl/fl; ?",57,"Muscle TSC1"
"81","Sacrificed","fl/fl; Tg/+",108,"Muscle TSC1"
"82","Unknown","fl/fl; +/+",97,"Muscle TSC1"
"83","Unknown","fl/fl; ?",0,"Muscle TSC1"
"84","Sacrificed","fl/fl; ?",37,"Muscle TSC1"
"85","Sacrificed","fl/fl; ?",37,"Muscle TSC1"
"86","Sacrificed","fl/fl; ?",37,"Muscle TSC1"
"87","Sacrificed","fl/fl; Tg/+",352,"Muscle TSC1"
"88","Sacrificed","fl/fl; +/+",210,"Muscle TSC1"
"89","Unknown","fl/fl; +/+",135,"Muscle TSC1"
"90","Sacrificed","fl/fl; +/+",200,"Muscle TSC1"
"91","Sacrificed","fl/fl; Tg/+",338,"Muscle TSC1"
"92","Estimated","fl/fl; +/+",1787,"Muscle TSC1"
"93","Sacrificed","fl/fl; Tg/+",200,"Muscle TSC1"
"94","Sacrificed","fl/fl; Tg/+",200,"Muscle TSC1"
"95","Estimated","fl/fl; +/+",468,"Muscle TSC1"
"96","Estimated","fl/fl; Tg/+",834,"Muscle TSC1"
"97","Estimated","fl/fl; Tg/+",468,"Muscle TSC1"
"98","Sacrificed","fl/fl; +/+",174,"Muscle TSC1"
"99","Sacrificed","fl/fl; +/+",174,"Muscle TSC1"
"100","Sacrificed","fl/fl; Tg/+",174,"Muscle TSC1"
"101","Sacrificed","fl/fl; +/+",174,"Muscle TSC1"
"102","Sacrificed","fl/fl; Tg/+",411,"Muscle TSC1"
"103","Sacrificed","fl/fl; ?",20,"Muscle TSC1"
"104","Sacrificed","fl/fl; ?",20,"Muscle TSC1"
"105","Sacrificed","fl/fl; +/+",333,"Muscle TSC1"
"106","Sacrificed","fl/fl; +/+",333,"Muscle TSC1"
"107","Unknown","fl/fl; +/+",218,"Muscle TSC1"
"108","Sacrificed","fl/fl; ?",17,"Muscle TSC1"
"109","Sacrificed","fl/fl; ?",17,"Muscle TSC1"
"110","Sacrificed","fl/fl; ?",17,"Muscle TSC1"
"111","Sacrificed","fl/fl; ?",63,"Muscle TSC1"
"112","Sacrificed","fl/fl; ?",63,"Muscle TSC1"
"113","Sacrificed","fl/fl; ?",63,"Muscle TSC1"
"114","Sacrificed","fl/fl; +/+",296,"Muscle TSC1"
"115","Sacrificed","fl/fl; Tg/+",296,"Muscle TSC1"
"116","Unknown","fl/fl; ?",0,"Muscle TSC1"
"117","Estimated","fl/fl; Tg/+",545,"Muscle TSC1"
"118","Estimated","fl/fl; Tg/+",558,"Muscle TSC1"
"119","Unknown","fl/fl; Tg/+",316,"Muscle TSC1"
"120","Sacrificed","fl/fl; +/+",294,"Muscle TSC1"
"121","Sacrificed","fl/fl; +/+",225,"Muscle TSC1"
"122","Sacrificed","fl/fl; Tg/+",132,"Muscle TSC1"
"123","Sacrificed","fl/fl; Tg/+",132,"Muscle TSC1"
"124","Sacrificed","fl/fl; +/+",132,"Muscle TSC1"
"125","Sacrificed","fl/fl; Tg/+",132,"Muscle TSC1"
"126","Sacrificed","fl/fl; Tg/+",132,"Muscle TSC1"
"127","Sacrificed","fl/fl; Tg/+",132,"Muscle TSC1"
"128","Sacrificed","fl/fl; Tg/+",132,"Muscle TSC1"
"129","Sacrificed","fl/fl; ?",61,"Muscle TSC1"
"130","Sacrificed","fl/fl; ?",61,"Muscle TSC1"
"131","Sacrificed","fl/fl; ?",59,"Muscle TSC1"
"132","Sacrificed","fl/fl; ?",59,"Muscle TSC1"
"133","Sacrificed","fl/fl; ?",59,"Muscle TSC1"
"134","Sacrificed","fl/fl; ?",59,"Muscle TSC1"
"135","Sacrificed","fl/fl; Tg/+",130,"Muscle TSC1"
"136","Unknown","fl/fl; ?",0,"Muscle TSC1"
"137","Sacrificed","fl/fl; ?",56,"Muscle TSC1"
"138","Sacrificed","fl/fl; +/+",286,"Muscle TSC1"
"139","Sacrificed","fl/fl; ?",286,"Muscle TSC1"
"140","Sacrificed","fl/fl; ?",53,"Muscle TSC1"
