"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name"
"59","ENSMUSG00000000320",19.5894966830318,0.806269852557552,0.375166921430072,2.14909632620112,0.031626764929941,0.0959807467561407,"Alox12"
"60","ENSMUSG00000000325",5.28443622282622,0.071725603909201,0.393725716144585,0.182171499010905,0.85544813920978,0.924158616013094,"Arvcf"
"61","ENSMUSG00000000326",1.10930098666344,-0.281489405618731,0.655724534513274,-0.42927996559969,0.667719494846148,0.802944904642298,"Comt"
"62","ENSMUSG00000000339",101.895872399458,0.534780394933223,0.139234458435205,3.840862390987,0.000122602832067289,0.000961419914766197,"Rtca"
"63","ENSMUSG00000000340",153.958995472782,-0.214216653978047,0.138063648440279,-1.55157897388687,0.120762997388888,0.258669770750914,"Dbt"
"64","ENSMUSG00000000346",419.021427089275,0.13899827351012,0.151010356638192,0.92045523634613,0.357334915004941,0.545316940904255,"Dazap2"
"65","ENSMUSG00000000355",169.409294607958,0.178642995641244,0.139623617350149,1.27946116159734,0.200734707964273,0.367916782743568,"Mcts1"
"66","ENSMUSG00000000359",12.4657746885869,-0.900442339552902,0.296982909851285,-3.03196685628746,0.0024296588005329,0.0122486043040725,"Rem1"
"67","ENSMUSG00000000365",0.242482474255162,-0.933505705874072,0.7210210356816,-1.29469968236309,0.195423849579656,NA,"Rnf17"
"68","ENSMUSG00000000374",286.860424768843,0.00553678763162765,0.0808928016880497,0.0684459867390846,0.945430615513128,0.972612851746883,"Trappc10"
"69","ENSMUSG00000000378",100.77995850645,0.693284252235817,0.114145764121544,6.07367481019794,1.25015767574608e-09,3.45257600434237e-08,"Ccm2"
"70","ENSMUSG00000000381",0,NA,NA,NA,NA,NA,"Wap"
"71","ENSMUSG00000000384",164.663149603617,0.272745644959262,0.126993885485113,2.14770690665445,0.0317370463576219,0.0961958878516926,"Tbrg4"
"72","ENSMUSG00000000385",0.386674408188727,-0.0840974977062519,0.750868712288263,-0.11200026892846,0.910823193339201,NA,"Tmprss2"
"73","ENSMUSG00000000386",0.633085709327649,0.176537509721755,0.748850634071498,0.235744622077598,0.813630842160151,0.898980044385198,"Mx1"
"74","ENSMUSG00000000392",16.1924017541866,-0.247010250327936,0.255857783372124,-0.965420113753899,0.334334431042711,0.522531276163388,"Fap"
"75","ENSMUSG00000000394",0,NA,NA,NA,NA,NA,"Gcg"
"76","ENSMUSG00000000399",520.433980554864,0.153602230679151,0.117725471172064,1.30474933886356,0.191978214963955,0.357268406793905,"Ndufa9"
"77","ENSMUSG00000000402",1.86218180778182,-0.74557868577711,0.581769277096521,-1.2815710886249,0.199993147549671,0.367219610053558,"Egfl6"
"78","ENSMUSG00000000409",1.10332735826775,-1.05720745087335,0.735849138192804,-1.43671765855401,0.150798235311979,0.302713472321447,"Lck"
"79","ENSMUSG00000000411",0.0856055538442801,0.268163177620911,0.567197960384257,0.472785863755998,0.636365960442346,NA,"Tssk3"
"80","ENSMUSG00000000416",3.44288001404152,-0.352561924900179,0.450687470908269,-0.782275851133961,0.434052475746429,0.617777626582733,"Cttnbp2"
"81","ENSMUSG00000000420",410.734600805473,0.24085782393776,0.0969309611020253,2.48483891214328,0.0129610069609006,0.0476246556311835,"Galnt1"
"82","ENSMUSG00000000435",10.9259790576979,-0.26709546462557,0.282389100224041,-0.94584197624364,0.344229192040069,0.532639792737025,"Myf5"
"83","ENSMUSG00000000439",282.388985112263,-0.546595800547133,0.0849853532902556,-6.43164709429766,1.26228543399029e-10,4.21460341680939e-09,"Mkrn2"
"84","ENSMUSG00000000440",42.7775896652873,-0.233712984977957,0.26000536542832,-0.898877546595813,0.368717888975843,0.556331183763639,"Pparg"
"85","ENSMUSG00000000441",545.812177501707,0.139445196078742,0.0954289311796926,1.46124654604133,0.14394779349671,0.293160296619759,"Raf1"
"86","ENSMUSG00000000486",6.36227179829865,-0.267194118741017,0.4085489960226,-0.654007527474714,0.513106955958237,0.684112521213123,"Sept1"
