Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type,Protein,Genotype,Sample
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,10,926000,1330000,1836,222,Signal,S6K,Wild-Type,811
2015-12-14_DB2-800.tiff,W,1,223000,341000,3807,31,Signal,CV-ATP5A,Wild-Type,867
2015-12-14_DB2-800.tiff,W,2,344000,473000,3807,34,Signal,CV-ATP5A,Wild-Type,1251
2015-12-14_DB2-800.tiff,W,3,283000,417000,3612,37,Signal,CV-ATP5A,Wild-Type,1260
2015-12-14_DB2-800.tiff,W,4,224000,320000,3312,29,Signal,CV-ATP5A,Wild-Type,1550
2015-12-14_DB2-800.tiff,W,5,218000,335000,3569,33,Signal,CV-ATP5A,Wild-Type,811
2015-12-14_DB2-800.tiff,W,6,469000,616000,3975,37,Signal,CV-ATP5A,Knockout,869
2015-12-14_DB2-800.tiff,W,7,301000,410000,3120,35,Signal,CV-ATP5A,Knockout,1264
2015-12-14_DB2-800.tiff,W,8,210000,313000,3320,31,Signal,CV-ATP5A,Knockout,1266
2015-12-14_DB2-800.tiff,W,9,198000,304000,3672,29,Signal,CV-ATP5A,Knockout,1265
2015-12-14_DB2-800.tiff,W,10,218000,365000,4465,33,Signal,CV-ATP5A,Knockout,1552
2015-12-14_DB2-800.tiff,W,11,444000,582000,2772,50,Signal,CIII-UQCRC2,Wild-Type,867
2015-12-14_DB2-800.tiff,W,12,465000,635000,3280,52,Signal,CIII-UQCRC2,Wild-Type,1251
2015-12-14_DB2-800.tiff,W,13,468000,670000,4032,50,Signal,CIII-UQCRC2,Wild-Type,1260
2015-12-14_DB2-800.tiff,W,14,325000,468000,3648,39,Signal,CIII-UQCRC2,Wild-Type,1550
2015-12-14_DB2-800.tiff,W,15,400000,592000,4368,44,Signal,CIII-UQCRC2,Wild-Type,811
2015-12-14_DB2-800.tiff,W,16,487000,653000,3600,46,Signal,CIII-UQCRC2,Knockout,869
2015-12-14_DB2-800.tiff,W,17,440000,569000,3479,37,Signal,CIII-UQCRC2,Knockout,1264
2015-12-14_DB2-800.tiff,W,18,242000,372000,3713,35,Signal,CIII-UQCRC2,Knockout,1266
2015-12-14_DB2-800.tiff,W,19,255000,358000,3116,33,Signal,CIII-UQCRC2,Knockout,1265
2015-12-14_DB2-800.tiff,W,20,306000,459000,4611,33,Signal,CIII-UQCRC2,Knockout,1552
2015-12-14_DB2-800.tiff,W,21,77100,156000,2013,39,Signal,CIV-MTCO1,Wild-Type,867
2015-12-14_DB2-800.tiff,W,22,17800,92900,2592,29,Signal,CIV-MTCO1,Wild-Type,1251
2015-12-14_DB2-800.tiff,W,23,2350,57500,2044,27,Signal,CIV-MTCO1,Wild-Type,1260
2015-12-14_DB2-800.tiff,W,24,15900,78000,2485,25,Signal,CIV-MTCO1,Wild-Type,1550
2015-12-14_DB2-800.tiff,W,25,6180,62900,2268,25,Signal,CIV-MTCO1,Wild-Type,811
2015-12-14_DB2-800.tiff,W,26,45100,137000,2613,35,Signal,CIV-MTCO1,Knockout,869
2015-12-14_DB2-800.tiff,W,27,30900,137000,2860,37,Signal,CIV-MTCO1,Knockout,1264
2015-12-14_DB2-800.tiff,W,28,25300,122000,3344,29,Signal,CIV-MTCO1,Knockout,1266
2015-12-14_DB2-800.tiff,W,29,25300,99300,2960,25,Signal,CIV-MTCO1,Knockout,1265
2015-12-14_DB2-800.tiff,W,30,1310,70800,2240,31,Signal,CIV-MTCO1,Knockout,1552
