Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
13,85,10/7/2015 10:46:08 PM,Dark,4/7/1981 10:44:08 PM,4/7/1981 10:45:57 PM,109,0.10,3.37,
13,86,10/7/2015 10:46:33 PM,Dark,4/7/1981 10:46:09 PM,4/7/1981 10:46:22 PM,13,-0.08,3.29,
14,87,10/7/2015 10:54:26 PM,Dark,4/7/1981 10:49:32 PM,4/7/1981 10:54:15 PM,283,0.70,3.98,
14,88,10/7/2015 10:58:17 PM,Dark,4/7/1981 10:58:01 PM,4/7/1981 10:58:06 PM,5,-0.03,3.95,
14,89,10/7/2015 10:58:55 PM,Dark,4/7/1981 10:58:24 PM,4/7/1981 10:58:44 PM,20,0.08,4.03,
14,90,10/7/2015 11:02:54 PM,Dark,4/7/1981 10:59:22 PM,4/7/1981 11:02:44 PM,202,0.12,4.15,
14,91,10/7/2015 11:03:55 PM,Dark,4/7/1981 11:03:05 PM,4/7/1981 11:03:45 PM,40,-0.10,4.06,
14,92,10/7/2015 11:13:07 PM,Dark,4/7/1981 11:12:07 PM,4/7/1981 11:12:56 PM,49,1.10,5.16,
14,93,10/7/2015 11:14:30 PM,Dark,4/7/1981 11:14:11 PM,4/7/1981 11:14:19 PM,8,-0.15,5.01,
14,94,10/7/2015 11:19:21 PM,Dark,4/7/1981 11:17:56 PM,4/7/1981 11:19:10 PM,74,0.06,5.06,
15,95,10/7/2015 11:25:56 PM,Dark,4/7/1981 11:24:52 PM,4/7/1981 11:25:45 PM,53,-0.04,5.02,
15,96,10/7/2015 11:31:13 PM,Dark,4/7/1981 11:26:37 PM,4/7/1981 11:31:02 PM,265,-0.06,4.96,
15,97,10/7/2015 11:33:44 PM,Dark,4/7/1981 11:33:18 PM,4/7/1981 11:33:33 PM,15,0.08,5.04,
16,98,10/7/2015 11:58:40 PM,Dark,4/7/1981 11:58:02 PM,4/7/1981 11:58:29 PM,27,0.04,5.08,
16,99,10/8/2015 12:01:35 AM,Dark,4/8/1981 12:01:01 AM,4/8/1981 12:01:25 AM,24,-0.04,5.04,
16,100,10/8/2015 12:04:38 AM,Dark,4/8/1981 12:04:10 AM,4/8/1981 12:04:28 AM,18,0.04,5.08,
16,101,10/8/2015 12:11:23 AM,Dark,4/8/1981 12:09:39 AM,4/8/1981 12:11:13 AM,94,-0.06,5.02,
16,102,10/8/2015 12:18:49 AM,Dark,4/8/1981 12:17:38 AM,4/8/1981 12:18:38 AM,60,0.09,5.11,
16,103,10/8/2015 12:26:14 AM,Dark,4/8/1981 12:22:21 AM,4/8/1981 12:26:02 AM,221,0.11,5.22,
17,104,10/8/2015 12:30:30 AM,Dark,4/8/1981 12:29:30 AM,4/8/1981 12:30:19 AM,49,0.15,5.36,
17,105,10/8/2015 12:34:08 AM,Dark,4/8/1981 12:31:37 AM,4/8/1981 12:33:58 AM,141,-0.09,5.27,
17,106,10/8/2015 12:49:33 AM,Dark,4/8/1981 12:48:33 AM,4/8/1981 12:49:22 AM,49,0.05,5.33,
17,107,10/8/2015 12:52:31 AM,Dark,4/8/1981 12:52:11 AM,4/8/1981 12:52:20 AM,9,-0.03,5.29,
17,108,10/8/2015 12:58:08 AM,Dark,4/8/1981 12:54:55 AM,4/8/1981 12:57:57 AM,182,0.09,5.38,
18,109,10/8/2015 1:04:35 AM,Dark,4/8/1981 1:02:55 AM,4/8/1981 1:04:25 AM,90,0.06,5.44,
18,110,10/8/2015 1:08:49 AM,Dark,4/8/1981 1:07:16 AM,4/8/1981 1:08:38 AM,82,-0.08,5.35,
18,111,10/8/2015 1:12:29 AM,Dark,4/8/1981 1:09:59 AM,4/8/1981 1:12:18 AM,139,0.05,5.40,
18,112,10/8/2015 1:25:57 AM,Dark,4/8/1981 1:25:26 AM,4/8/1981 1:25:47 AM,21,-0.08,5.32,
19,113,10/8/2015 1:38:54 AM,Dark,4/8/1981 1:35:15 AM,4/8/1981 1:38:44 AM,209,0.20,5.53,
19,114,10/8/2015 1:47:18 AM,Dark,4/8/1981 1:45:59 AM,4/8/1981 1:47:07 AM,68,-0.07,5.46,
19,115,10/8/2015 2:01:19 AM,Dark,4/8/1981 1:59:42 AM,4/8/1981 2:01:08 AM,86,0.06,5.52,
20,116,10/8/2015 2:07:28 AM,Dark,4/8/1981 2:03:45 AM,4/8/1981 2:07:17 AM,212,-0.10,5.42,
20,117,10/8/2015 2:10:34 AM,Dark,4/8/1981 2:10:10 AM,4/8/1981 2:10:24 AM,14,0.06,5.48,
20,118,10/8/2015 2:20:03 AM,Dark,4/8/1981 2:16:16 AM,4/8/1981 2:19:53 AM,217,0.22,5.70,
20,119,10/8/2015 2:22:37 AM,Dark,4/8/1981 2:21:33 AM,4/8/1981 2:22:26 AM,53,-0.04,5.66,
20,120,10/8/2015 2:33:27 AM,Dark,4/8/1981 2:26:51 AM,4/8/1981 2:33:17 AM,386,0.14,5.80,
21,121,10/8/2015 2:43:50 AM,Dark,4/8/1981 2:43:00 AM,4/8/1981 2:43:39 AM,39,-0.03,5.77,
