"","age","animal.Alive","animal.Background","animal.Cage","animal.Cause_of_Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","HighFatKnockout","Knockout"
"60",137,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-10-30","fed",58725,"19840",TRUE,"High Fat Diet"
"61",144,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-11-06","fed",59282,"22900",TRUE,"High Fat Diet"
"62",144,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-11-06","fed",59317,"2070",TRUE,"High Fat Diet"
"63",144,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-11-06","fed",59351,"20030",TRUE,"High Fat Diet"
"64",147,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-11-09","fed",59424,"23000",TRUE,"High Fat Diet"
"65",147,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-11-09","fed",59433,"1770",TRUE,"High Fat Diet"
"66",88,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-09-11","fed",60058,"22000",TRUE,"High Fat Diet"
"67",88,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-09-11","fed",60061,"3210",TRUE,"High Fat Diet"
"68",88,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-09-11","fed",60064,"17970",TRUE,"High Fat Diet"
"69",94,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-09-17","fed",60067,"22400",TRUE,"High Fat Diet"
"70",94,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-09-17","fed",60080,"3040",TRUE,"High Fat Diet"
"71",94,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-09-17","fed",60093,"18320",TRUE,"High Fat Diet"
"72",102,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-09-25","fed",60106,"22600",TRUE,"High Fat Diet"
"73",102,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-09-25","fed",60115,"2800",TRUE,"High Fat Diet"
"74",102,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-09-25","fed",60124,"18920",TRUE,"High Fat Diet"
"75",109,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-10-02","fed",60136,"23200",TRUE,"High Fat Diet"
"76",109,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-10-02","fed",60150,"2590",TRUE,"High Fat Diet"
"77",109,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-10-02","fed",60164,"19620",TRUE,"High Fat Diet"
"78",116,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-10-09","fed",60254,"23300",TRUE,"High Fat Diet"
"79",116,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-10-09","fed",60268,"2740",TRUE,"High Fat Diet"
"80",116,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-10-09","fed",60282,"19550",TRUE,"High Fat Diet"
"81",130,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-10-23","fed",60284,"23700",TRUE,"High Fat Diet"
"82",130,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-10-23","fed",60310,"2590",TRUE,"High Fat Diet"
"83",130,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-10-23","fed",60322,"20010",TRUE,"High Fat Diet"
"84",147,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-11-09","fed",60442,"20060",TRUE,"High Fat Diet"
"85",158,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-11-20","fed",60599,"24600",TRUE,"High Fat Diet"
"86",158,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-11-20","fed",60639,"2340",TRUE,"High Fat Diet"
"87",158,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-11-20","fed",60751,"21140",TRUE,"High Fat Diet"
"88",166,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-11-28","fed",60842,"23500",TRUE,"High Fat Diet"
"89",166,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-11-28","fed",60873,"2050",TRUE,"High Fat Diet"
"90",166,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-11-28","fed",60904,"20250",TRUE,"High Fat Diet"
"91",172,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-12-04","fed",61351,"23500",TRUE,"High Fat Diet"
"92",172,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-12-04","fed",61394,"1970",TRUE,"High Fat Diet"
"93",172,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-12-04","fed",61437,"20220",TRUE,"High Fat Diet"
"94",179,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-12-11","fed",62156,"23700",TRUE,"High Fat Diet"
"95",179,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-12-11","fed",62221,"1980",TRUE,"High Fat Diet"
"96",179,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-12-11","fed",62264,"20380",TRUE,"High Fat Diet"
"97",183,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-12-15","fed",62554,"23800",TRUE,"High Fat Diet"
"98",183,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-12-15","fed",62557,"2180",TRUE,"High Fat Diet"
"99",183,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-12-15","fed",62560,"20280",TRUE,"High Fat Diet"
"100",183,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Plasma Glucose","2015-12-15","fed",62563,"141",TRUE,"High Fat Diet"
"101",184,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-12-16","fasted",62566,"22500",TRUE,"High Fat Diet"
"102",184,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Plasma Glucose","2015-12-16","fasted",62569,"98",TRUE,"High Fat Diet"
"103",70,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-08-24","fed",52814,"19200",TRUE,"High Fat Diet"
"104",70,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-08-24","fed",52817,"1960",TRUE,"High Fat Diet"
"105",70,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-08-24","fed",52820,"16390",TRUE,"High Fat Diet"
"106",80,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-09-03","fed",53579,"19300",TRUE,"High Fat Diet"
"107",80,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-09-03","fed",53582,"2570",TRUE,"High Fat Diet"
"108",80,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-09-03","fed",53585,"15940",TRUE,"High Fat Diet"
"109",137,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-10-30","fed",58665,"28500",TRUE,"High Fat Diet"
"110",137,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-10-30","fed",58697,"8420",TRUE,"High Fat Diet"
"111",137,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-10-30","fed",58726,"19060",TRUE,"High Fat Diet"
"112",144,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-11-06","fed",59283,"27500",TRUE,"High Fat Diet"
"113",144,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-11-06","fed",59318,"7530",TRUE,"High Fat Diet"
"114",144,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-11-06","fed",59352,"18740",TRUE,"High Fat Diet"
"115",147,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-11-09","fed",59425,"27800",TRUE,"High Fat Diet"
"116",147,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-11-09","fed",59434,"7840",TRUE,"High Fat Diet"
"117",88,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-09-11","fed",60059,"19800",TRUE,"High Fat Diet"
"118",88,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-09-11","fed",60062,"2760",TRUE,"High Fat Diet"
"119",88,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-09-11","fed",60065,"16350",TRUE,"High Fat Diet"
"120",94,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-09-17","fed",60068,"20200",TRUE,"High Fat Diet"
"121",94,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-09-17","fed",60081,"2910",TRUE,"High Fat Diet"
"122",94,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-09-17","fed",60094,"16530",TRUE,"High Fat Diet"
"123",102,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-09-25","fed",60107,"21700",TRUE,"High Fat Diet"
"124",102,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-09-25","fed",60116,"3320",TRUE,"High Fat Diet"
"125",102,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-09-25","fed",60125,"17340",TRUE,"High Fat Diet"
"126",109,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-10-02","fed",60134,"22900",TRUE,"High Fat Diet"
"127",109,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-10-02","fed",60148,"4030",TRUE,"High Fat Diet"
"128",109,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-10-02","fed",60162,"17900",TRUE,"High Fat Diet"
"129",116,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-10-09","fed",60255,"23900",TRUE,"High Fat Diet"
"130",116,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-10-09","fed",60269,"4990",TRUE,"High Fat Diet"
"131",116,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-10-09","fed",60283,"17980",TRUE,"High Fat Diet"
"132",130,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Body Weight","2015-10-23","fed",60286,"26700",TRUE,"High Fat Diet"
"133",130,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Total Fat Mass","2015-10-23","fed",60312,"6890",TRUE,"High Fat Diet"
"134",130,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-10-23","fed",60324,"18380",TRUE,"High Fat Diet"
"135",147,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4104,184,9111,"Muscle TSC1","Lean Mass","2015-11-09","fed",60444,"18780",TRUE,"High Fat Diet"
